Model,Train_AUC,Test_AUC,Test_AUC_Std,Test_Accuracy,Test_Accuracy_Std,Test_Precision,Test_Recall,Overfitting
SVM_RBF,1.0,0.8976923076923077,0.02811641058845702,0.8372549019607842,0.022866478019001185,0.8869463869463869,0.885897435897436,0.10230769230769232
Stacking Ensemble,1.0,0.8956410256410257,0.06830626779141409,0.8372549019607842,0.02286647801900118,0.8532234432234432,0.9358974358974358,0.10435897435897434
Calibrated SVM_RBF,0.9993877551020407,0.887948717948718,0.03822663308035504,0.8490196078431371,0.02745098039215686,0.8765567765567764,0.9192307692307692,0.1114390371533227
LogReg_Balanced,0.9957142857142858,0.8505128205128205,0.0824892159190053,0.8019607843137255,0.08046386089679682,0.8915850815850817,0.8192307692307693,0.14520146520146526
Voting Ensemble,0.9995918367346939,0.8505128205128205,0.09731976885298768,0.7901960784313726,0.061256860203189434,0.8422077922077922,0.8692307692307694,0.14907901622187336
RandomForest,0.9991836734693876,0.8361538461538462,0.09743387312337104,0.8372549019607842,0.02286647801900118,0.8442948717948718,0.95,0.1630298273155414
ElasticNet,0.9906122448979591,0.8207692307692309,0.10244351885899379,0.7784313725490196,0.0793088173182615,0.8385714285714286,0.8525641025641025,0.16984301412872815
GradientBoosting,1.0,0.7838461538461539,0.14253873598342592,0.7555555555555556,0.045017451915614515,0.7871794871794873,0.9012820512820513,0.21615384615384614
